order_id,order_date,region,city,salesperson,product,category,units,unit_price,discount,revenue,cost,profit,customer_segment
ORD-1000,13/01/2026, EAST ,Accra,Salesperson D, Laptop Stand ,Accessories,3,24.50,0.10,66.15,39.75,26.40,Consumer
ORD-1001,2026-06-09, EAST ,Dakar,Salesperson A,Laptop Stand,Accessories,5,24.50,0,122.50,66.25,56.25,Consumer
ORD-1002,2026-04-26,south, Nairobi ,Salesperson B,Wireless Mouse,Accessories,3,18.00,0.05,51.30,28.20,23.10,Education
ORD-1003,2026-04-17, EAST ,Dakar,Salesperson C,Notebook Pack,Stationery,8,8.25,,66.00,30.40,35.60,Consumer
ORD-1004,2026-03-11, EAST ,Lagos,Salesperson D,Desk Lamp,,9,32.75,0.10,265.28,153.90,111.38,Consumer
ORD-1005,2026-01-27, EAST ,Accra,Salesperson B,Desk Lamp,,3,32.75,0,98.25,51.30,46.95,Consumer
ORD-1006,2026-06-25,North,Dakar,Salesperson C,Laptop Stand,Accessories,5,24.50,,122.50,66.25,56.25,Enterprise
ORD-1007,2026-04-14,south,Kigali,Salesperson A,Notebook Pack,Stationery,10,8.25,0.05,78.38,38.00,40.38,Enterprise
ORD-1008,2026-04-28,North,Lagos,Salesperson D,Notebook Pack,Stationery,10,8.25,0,82.50,38.00,44.50,Enterprise
ORD-1009,2026-04-24,North,Kigali,Salesperson A,Notebook Pack,Stationery,7,8.25,0.05,54.86,26.60,28.26,Enterprise
ORD-1010,2026-06-08,south, Nairobi ,Salesperson D,Office Chair,Furniture,6,145.00,,870.00,534.00,336.00,Enterprise
ORD-1011,2026-06-11,West,Abidjan,Salesperson B,Wireless Mouse,Accessories,13,18.00,0.15,198.90,122.20,76.70,Education
ORD-1012,2026-06-26,Central,Kigali,Salesperson A,Laptop Stand,Accessories,12,24.50,0.05,279.30,159.00,120.30,Education
ORD-1013,2026-02-01,south, Nairobi ,Salesperson D,Laptop Stand,Accessories,8,24.50,0.05,186.20,106.00,80.20,Consumer
ORD-1014,2026-06-18,west, Nairobi ,Salesperson C,Notebook Pack,Stationery,7,8.25,0.10,51.98,26.60,25.38,Consumer
ORD-1015,2026-04-15,Central,Abidjan,Salesperson A,Office Chair,Furniture,9,145.00,,1305.00,801.00,504.00,Small Business
ORD-1016,2026-04-05,west, Nairobi ,Salesperson D,USB-C Hub,Electronics,2,49.99,,99.98,57.00,42.98,Education
ORD-1017,03/06/2026,North, Nairobi ,Salesperson C,Laptop Stand,Accessories,3,24.50,0.05,69.82,39.75,30.07,Small Business
ORD-1018,2026-04-03,Central,Abidjan,Salesperson B,Notebook Pack,Stationery,6,8.25,,49.50,22.80,26.70,Enterprise
ORD-1019,04/01/2026,Central,Accra,Salesperson B,Laptop Stand,Accessories,18,24.50,0.15,374.85,238.50,136.35,Consumer
ORD-1020,2026-02-17,south,Lagos,Salesperson B,Office Chair,Furniture,10,145.00,0.10,1305.00,890.00,415.00,Enterprise
ORD-1021,2026-04-23,North,Accra,Salesperson A,USB-C Hub,Electronics,6,49.99,0.10,269.95,171.00,98.95,Consumer
ORD-1022,2026-05-22,west,Lagos,Salesperson C,Desk Lamp,,9,32.75,0,294.75,153.90,140.85,Education
ORD-1023,2026-05-31,south,Kigali,Salesperson D, Laptop Stand ,Accessories,3,24.50,0.15,62.48,39.75,22.73,Education
ORD-1024,2026-03-05,Central,Kigali,Salesperson B,Wireless Mouse,Accessories,1,18.00,0,18.00,9.40,8.60,Enterprise
ORD-1025,2026-03-23,west,Kigali,Salesperson C,Desk Lamp,,7,32.75,,229.25,119.70,109.55,Education
ORD-1026,2026-01-18,North, Nairobi ,Salesperson D,Laptop Stand,Accessories,18,24.50,0.15,374.85,238.50,136.35,Small Business
ORD-1027,2026-06-11,North,Abidjan,Salesperson C,Office Chair,Furniture,3,145.00,0,435.00,267.00,168.00,Enterprise
ORD-1028,2026-05-10,west,Abidjan,Salesperson D,USB-C Hub,Electronics,17,49.99,0.10,764.85,484.50,280.35,Education
ORD-1028,2026-05-10,west,Abidjan,Salesperson D,USB-C Hub,Electronics,17,49.99,0.10,764.85,484.50,280.35,Education
ORD-1029,2026-04-24,west,Kigali,Salesperson C,Wireless Mouse,Accessories,8,18.00,0,144.00,75.20,68.80,Small Business
ORD-1030,2026-04-11,Central,Kigali,Salesperson A,Office Chair,Furniture,10,145.00,0.10,1305.00,890.00,415.00,Education
ORD-1031,2026-05-12,Central,Dakar,Salesperson A,USB-C Hub,Electronics,8,49.99,0.15,339.93,228.00,111.93,Consumer
